id,name,dob,gender,address,first_release_year,no_of_albums_released,created_at,updated_at
1,John Doe,1990-06-15 00:00:00+00,1,1234 Elm St,2010,5,2025-03-07 10:00:00+00,2025-03-07 10:00:00+00
2,Alice Smith,1985-09-21 00:00:00+00,2,5678 Oak St,2005,8,2025-03-07 10:05:00+00,2025-03-07 10:05:00+00
3,Robert Johnson,1992-04-30 00:00:00+00,1,9101 Pine St,2012,3,2025-03-07 10:10:00+00,2025-03-07 10:10:00+00
4,Linda Brown,1988-11-05 00:00:00+00,2,1357 Maple St,2008,6,2025-03-07 10:15:00+00,2025-03-07 10:15:00+00
5,Michael White,1995-02-20 00:00:00+00,1,2468 Cedar St,2015,4,2025-03-07 10:20:00+00,2025-03-07 10:20:00+00
6,Susan Green,1980-03-25 00:00:00+00,2,3579 Birch St,2000,7,2025-03-07 10:25:00+00,2025-03-07 10:25:00+00
7,David Lee,1991-07-14 00:00:00+00,1,4680 Redwood St,2013,5,2025-03-07 10:30:00+00,2025-03-07 10:30:00+00
8,Patricia Taylor,1987-12-01 00:00:00+00,2,5791 Willow St,2006,9,2025-03-07 10:35:00+00,2025-03-07 10:35:00+00
9,James Anderson,1993-05-19 00:00:00+00,1,6802 Birchwood St,2011,2,2025-03-07 10:40:00+00,2025-03-07 10:40:00+00
10,Karen Thomas,1983-01-10 00:00:00+00,2,7913 Ash St,2002,10,2025-03-07 10:45:00+00,2025-03-07 10:45:00+00
11,Charles Harris,1994-08-08 00:00:00+00,1,9024 Oakwood St,2014,1,2025-03-07 10:50:00+00,2025-03-07 10:50:00+00
12,Mary Clark,1982-05-22 00:00:00+00,2,1234 Elmwood St,2001,12,2025-03-07 10:55:00+00,2025-03-07 10:55:00+00
13,William Walker,1990-11-11 00:00:00+00,1,2345 Poplar St,2010,7,2025-03-07 11:00:00+00,2025-03-07 11:00:00+00
14,Lisa Lewis,1989-04-15 00:00:00+00,2,3456 Cherry St,2007,4,2025-03-07 11:05:00+00,2025-03-07 11:05:00+00
15,Joseph Young,1993-09-30 00:00:00+00,1,4567 Pinewood St,2012,6,2025-03-07 11:10:00+00,2025-03-07 11:10:00+00
16,Betty King,1991-02-18 00:00:00+00,2,5678 Cedarwood St,2009,3,2025-03-07 11:15:00+00,2025-03-07 11:15:00+00
17,Thomas Scott,1986-03-28 00:00:00+00,1,6789 Birchwood St,2005,8,2025-03-07 11:20:00+00,2025-03-07 11:20:00+00
18,Jessica Martinez,1995-07-02 00:00:00+00,2,7890 Redwoodwood St,2016,2,2025-03-07 11:25:00+00,2025-03-07 11:25:00+00
19,George Gonzalez,1984-10-12 00:00:00+00,1,8901 Ashwood St,2004,7,2025-03-07 11:30:00+00,2025-03-07 11:30:00+00
20,Sandra Perez,1992-09-14 00:00:00+00,2,9012 Oakwood St,2010,5,2025-03-07 11:35:00+00,2025-03-07 11:35:00+00
21,Daniel Roberts,1987-06-30 00:00:00+00,1,1234 Pinewood St,2003,9,2025-03-07 11:40:00+00,2025-03-07 11:40:00+00
22,Cynthia Baker,1990-03-17 00:00:00+00,2,2345 Maplewood St,2011,4,2025-03-07 11:45:00+00,2025-03-07 11:45:00+00
23,Edward Nelson,1988-12-22 00:00:00+00,1,3456 Oakwood St,2006,8,2025-03-07 11:50:00+00,2025-03-07 11:50:00+00
24,Barbara Carter,1981-07-05 00:00:00+00,2,4567 Cedarwood St,2000,11,2025-03-07 11:55:00+00,2025-03-07 11:55:00+00
25,Steven Mitchell,1994-10-25 00:00:00+00,1,5678 Birchwood St,2013,6,2025-03-07 12:00:00+00,2025-03-07 12:00:00+00

